ENTRADA / RADICADO,ÁREA RESPONSABLE,ASUNTO
1050001-2025-0525,DRM_DABA,ANÁLISIS DE CAUSAS Y PLANES DE MEJORAMIENTO AUDITORÍA 2. MPMA - SERVICIO  ACUEDUCTO
1360001-2026-296,DRMA,RESPUESTA MEMORANDO INTERNO 2541001-2026-0836 IMPUESTO TIMBRE NEMA INGENIERIA  SAS
1360001-2026-356,DRMA,IMPUESTO DE TIMBRE CONTRATO DE OBRA NO. 1-01-25400-1630-2024 NEMA INGENIERIA SAS
15300-2026-0997,DRMA,REMISIÓN PAGO CONCILIACIÓN PARCIAL 11001333603320240002700 CONSORCIO INTERVENTORES  2018
1190001-2026-0899,DRMA,ACTA DE LIQUIDACIÓN CONTRATO DE COMPRAVENTA NO. 2-10-25400-1528-2025 AVISO SAP  NO. 700068351 Y NO. ORDEN 8400082515.
E-2026-073630 E-2026-073933,DRMA,"INVITACION SESION MIERCOLES 15 DE JULIO DE 2026 SEGUIMIENTO A LOS COMPROMISOS ADQUIRIDOS POR LAS ENTIDADES EN LA SESIONES DE NOV 12 DE 2020, MAYO 11 Y JUNIO 21 DE 2021, FEBRERO 7 DE 2022, MARZO 9 DE 2023, FEBRERO 13 Y NOVIEMBRE 11 DE 2025 SOBRE EL …"
1530001-2026-1053,DRMA,REQUERIMIENTO PRONUNCIAMIENTO Y REMISIÓN DE PRUEBAS PARA CONTESTACIÓN DE DEMANDA  PRESENTADA POR LA ASEGURADORA ZURICH EN CONTRA DE LA EAAB ESP (ANTECEDENTE RADICACIÓN  E-2026-152012 (NO. 040) - IUC I-2026-4304614
3050001-2026-1761,DRMA,SOLICITUD APROBACIÓN Y FIRMA DEL PLAN DE EMERGENCIA Y CONTINGENCIA POR SISMO EN EL  SISTEMA DE ACUEDUCTO.
1530001-2026-1060,DRMA,SOLICITA INFORMACIÓN PROCESO IBERVÍAS INGENIEROS S.L.
1190001-2026-0758,DRMA,"ACTA DE LIQUIDACIÓN CONTRATO DE INTERVENTORÍA NO. 1-15-25400-1535-2022, AVISO SAP NO. 700068099 Y ORDEN NO. 8400082358"
E-2026-061137,DRMA,ENVIO DOCUMENTO SECRETARIA DISTRITAL DE AMBIENTE RADICADO NO. 2026EE106696
E-2026-060473,DRMA,PRESENTACIÓN OFICIAL DE HYDRANET PRO: INNOVACIÓN EN MODELACIÓN DE REDES DE ACUEDUCTO CON IA Y SIG
1190001-2026-0786,DRMA,"ACTA DE LIQUIDACIÓN CONTRATO DE OBRA NO. 1-01-25400-1595-2023, AVISO SAP NO. 700068006 Y NO. DE ORDEN 8400082334"
2410001-2026-0502,DRMA,SOLICITUD DE INFORMACIÓN DE TANQUES ALMACENAMIENTO EN ÁREAS DE RIESGO POR INCENDIO  FORESTAL RADICADO N° E-2026-064856
1190001-2026-0859,DRMA,"ACTA DE LIQUIDACIÓN CONTRATO DE CONSULTORÍA NO 2-02-25400-1719-2024, AVISO SAP NO.  700068190 NO. ORDEN 8400082444"
