ENTRADA / RADICADO,ASUNTO,ÁREA RESPONSABLE
13700-2025-0247,Seguimiento ICxP Liberadas con corte junio 2025_x000D_,DIRECCIONES_GERENCIA
1451001-2025-1690,SOLICITUD INVENTARIOS DOCUMENTALES ARCHIVOS DE GESTIÓN,DIRECCIONES_GERENCIA
1050001-2025-0525,ANÁLISIS DE CAUSAS Y PLANES DE MEJORAMIENTO AUDITORÍA 2. MPMA - SERVICIO  ACUEDUCTO,DRM_DABA
1190001-2026-0588,ACTA DE LIQUIDACIÓN CONTRATO DE OBRA NO. 1-01-25400-1518-2023 AVISO SAP NO.  700067718 Y NO.ORDEN 8400082091,DRMA
1360001-2026-296,RESPUESTA MEMORANDO INTERNO 2541001-2026-0836 IMPUESTO TIMBRE NEMA INGENIERIA  SAS,DRMA
1190001-2026-0622,ACTA DE LIQUIDACIÓN CONTRATO DE PRESTACIÓN DE SERVICIOS NO. 2-05-25400-1389-2025 AVISO  SAP NO. 700067882 Y NO. ORDEN 8400082180,DRMA
3310001-2026-167,TRASLADO INQUIETUDES COMUNIDAD BARRIO LA SELVA – DAÑOS EN LA VÍA Y ESCAPE TANQUE EL  CONSUELO,DRMA
1360001-2026-356,IMPUESTO DE TIMBRE CONTRATO DE OBRA NO. 1-01-25400-1630-2024 NEMA INGENIERIA SAS,DRMA
1190001-2026-0758,"ACTA DE LIQUIDACIÓN CONTRATO DE INTERVENTORÍA NO. 1-15-25400-1535-2022, AVISO SAP NO. 700068099 Y ORDEN NO. 8400082358",DRMA
E-2026-061137,ENVIO DOCUMENTO SECRETARIA DISTRITAL DE AMBIENTE RADICADO NO. 2026EE106696,DRMA
E-2026-060473,PRESENTACIÓN OFICIAL DE HYDRANET PRO: INNOVACIÓN EN MODELACIÓN DE REDES DE ACUEDUCTO CON IA Y SIG,DRMA
2620001-2026-DIE-119,DISCUSIÓN ANTEPROYECTO DE MODIFICACIÓN NORMA TÉCNICA NP-011 ACCESORIOS PARA  DERIVACIONES Y ACOMETIDAS DE ACUEDUCTO,DRMA
2620001-2026-DIE-120,DISCUSIÓN ANTEPROYECTO DE MODIFICACIÓN NORMA TÉCNICA NT-001 MEDIDORES DE AGUA  POTABLE. DEFINICIONES Y CLASIFICACIÓN.,DRMA
1530001-2026-0854,CONCILIACIÓN PROCURADURÍA - CONSORCIO LA VEREDITA IND,DRMA
2631001-2026-0125,SOLICITUD DE GESTIÓN DE PLAN DE ACCIÓN INTEGRADO PARA DEFINICIÓN TÉCNICA ASOCIADA A  LAS TUBERÍAS DE SUCCIÓN Y DESCARGA DE LAS ESTACIONES DE BOMBEO PARQUE NACIONAL  – SAN DIEGO – LOURDES.,DRMA
1190001-2026-0786,"ACTA DE LIQUIDACIÓN CONTRATO DE OBRA NO. 1-01-25400-1595-2023, AVISO SAP NO. 700068006 Y NO. DE ORDEN 8400082334",DRMA
1471001-2026-0288,REITERACIÓN – CONTRATOS NOS. 1-02-25400-1110-2021 1-15-25400-1167-2021 1-02-25400- 1040-2018 1-15-25400-1124-2018 1-02-25400-1203-2021 1-15-25400-1288-2021 1-02- 25400-1346-2018,DRMA
E-2026-063620,SOLICITUD DE INFORMACION,DRMA
1310001-2026-0064,RESPUESTA MEMORANDO INTERNO 2541001-2026-0871 - CONTRATO DE OBRA NO. 1-01-25400- 1499-2019 “CONSTRUCCIÓN DEL SISTEMA DE ACUEDUCTO LA VEREDITA EN SOACHA” SOLICITUD DE IDENTIFICACIÓN Y VALORACIÓN DE PERJUICIOS FINANCIEROS CAUSADOS POR EL INCUMPLIMIENTO DEL CONTRATO DE OBRA NO. 1-01-25400- 1499-2019,DRMA
1510001-2026-115,ESTADO PROCESOS JUDICIALES DEL CONTRATO NO.1-01-25400-1477–2019 RAD. E-2026-040544.,DRMA
CORREO 2026,SOLICITUD DE INFORMACIÓN REDES MATRICES DE ACUEDUCTO,DRMA
