"ENTRADA / RADICADO,""ÁREA RESPONSABLE"",""ASUNTO"""
"13700-2025-0247,""Direcciones · Gerencia"",""Seguimiento ICxP liberadas con corte junio 2025"""
"1451001-2025-1690,""Direcciones · Gerencia"",""Solicitud inventarios documentales archivos de gestión"""
"1050001-2025-0525,""DRM · DABA"",""Análisis de causas y planes de mejoramiento auditoría 2. MPMA - Servicio Acueducto"""
"1190001-2026-0588,""DRMA"",""Acta de liquidación Contrato de Obra No. 1-01-25400-1518-2023 Aviso SAP No. 700067718 y No. Orden 8400082091"""
"1360001-2026-296,""DRMA"",""Respuesta Memorando Interno 2541001-2026-0836 impuesto timbre Nema Ingeniería SAS"""
"1190001-2026-0622,""DRMA"",""Acta de liquidación Contrato de Prestación de Servicios No. 2-05-25400-1389-2025 Aviso SAP No. 700067882 y No. Orden 8400082180"""
"3310001-2026-167,""DRMA"",""Traslado inquietudes comunidad barrio La Selva – daños en la vía y escape tanque El Consuelo"""
"1360001-2026-356,""DRMA"",""Impuesto de timbre Contrato de Obra No. 1-01-25400-1630-2024 Nema Ingeniería SAS"""
"1190001-2026-0758,""DRMA"",""Acta de liquidación Contrato de Interventoría No. 1-15-25400-1535-2022, Aviso SAP No. 700068099 y Orden No. 8400082358"""
"E-2026-061137,""DRMA"",""Envío documento Secretaría Distrital de Ambiente radicado No. 2026EE106696"""
"E-2026-060473,""DRMA"",""Presentación oficial de Hydranet Pro: innovación en modelación de redes de acueducto con IA y SIG"""
"2620001-2026-DIE-119,""DRMA"",""Discusión anteproyecto de modificación Norma Técnica NP-011 accesorios para derivaciones y acometidas de acueducto"""
"2620001-2026-DIE-120,""DRMA"",""Discusión anteproyecto de modificación Norma Técnica NT-001 medidores de agua potable. Definiciones y clasificación"""
"1530001-2026-0854,""DRMA"",""Conciliación Procuraduría - Consorcio La Veredita IND"""
"2631001-2026-0125,""DRMA"",""Solicitud de gestión de plan de acción integrado para definición técnica asociada a las tuberías de succión y descarga de las estaciones de bombeo Parque Nacional – San Diego – Lourdes"""
"1190001-2026-0786,""DRMA"",""Acta de liquidación Contrato de Obra No. 1-01-25400-1595-2023, Aviso SAP No. 700068006 y No. de Orden 8400082334"""
"1471001-2026-0288,""DRMA"",""Reiteración – Contratos Nos. 1-02-25400-1110-2021, 1-15-25400-1167-2021, 1-02-25400-1040-2018, 1-15-25400-1124-2018, 1-02-25400-1203-2021, 1-15-25400-1288-2021, 1-02-25400-1346-2018"""
"E-2026-063620,""DRMA"",""Solicitud de información"""
"1310001-2026-0064,""DRMA"",""Respuesta Memorando Interno 2541001-2026-0871 - Contrato de Obra No. 1-01-25400-1499-2019 - Solicitud de identificación y valoración de perjuicios financieros"""
"1510001-2026-115,""DRMA"",""Estado procesos judiciales del Contrato No. 1-01-25400-1477-2019 Rad. E-2026-040544"""
"CORREO 2026,""DRMA"",""Solicitud de información redes matrices de acueducto"""
"3010001-2026-0148,""DRMA"",""Respuesta Memorando Interno 2541001-2025-4234, segunda versión informe y respuesta Comunicación 15200-2025-0377 – Estimación de la capacidad excedentaria de los sistemas de producción y transporte para el suministro de agua municipios vecinos"""
"E-2026-030008,""DRMA"",""Radicado No. 001138038 del 11 de marzo de 2026"""
"15300-2026-24,""DRM · DABA · DBR"",""Solicitud información para cumplimiento del requerimiento formulado dentro de Acción Popular Río Bogotá 250002315-000-2001-00479-02 – Auto 3066"""
"1360001-2026-278,""Direcciones"",""Cartera impuesto de timbre año 2026"""
"1210001-2026-0095,""DRT · DABA · DRM"",""Control SUI abril 2026"""
"1360001-2026-354,""DBR · DRT · DRM"",""Cartera impuesto de timbre año 2026"""
"E-2026-056557,""DRM · Metro"",""Respuesta a comunicación EAAB-ESP 2510001-S-2026-087686 radicada en la EMB con No. EXT26-0007393 el 26 de marzo de 2026"""
"1442002-2026-2457,""DRM · DABA"",""Inspección planeada de seguridad y salud en ECO - Edificio Central - Piso 4"""
"1250001-2026-0135,""Direcciones · Gerencia"",""Socialización de informes de planes de mejoramiento del Sistema Único de Gestión (SUG), gestión de riesgos y planificación de cambios – Primer cuatrimestre de 2026"""
"3050001-2026-0597,""DRM · DABA"",""Actualización planes de emergencia y contingencia por escasez de agua y deterioro calidad de agua 2026 y designación de responsables"""
"CORREO 2026,""DRM · DRT"",""Borrador de convenio para el establecimiento de una alianza estratégica con VANT"""
